light_id,x_coordinate,y_coordinate
berts_brights:2-1,10,0
berts_brights:2-2,20,0
berts_brights:2-3,30,0
berts_brights:2-4,40,0
berts_brights:2-5,50,0
berts_brights:2-6,60,0
berts_brights:2-7,70,0
berts_brights:2-8,80,0
berts_brights:2-9,90,0
berts_brights:2-10,100,0
berts_brights:2-11,100,10
berts_brights:2-12,100,20
berts_brights:2-13,100,30
berts_brights:2-14,100,40
berts_brights:2-15,100,50
berts_brights:2-16,100,60
berts_brights:2-17,100,70
berts_brights:2-18,100,80
berts_brights:2-19,100,90
berts_brights:2-20,100,100
berts_brights:2-21,110,100
berts_brights:2-22,120,100
berts_brights:2-23,130,100
berts_brights:2-24,140,100
berts_brights:2-25,150,100
berts_brights:2-26,160,100
berts_brights:2-27,170,100
berts_brights:2-28,180,100
berts_brights:2-29,190,100
berts_brights:2-30,200,100
berts_brights:2-31,200,90
berts_brights:2-32,200,80
berts_brights:2-33,200,70
berts_brights:2-34,200,60
berts_brights:2-35,200,50
berts_brights:2-36,200,40
berts_brights:2-37,200,30
berts_brights:2-38,200,20
berts_brights:2-39,200,10
berts_brights:2-40,200,0
berts_brights:2-41,210,10
berts_brights:2-42,220,20
berts_brights:2-43,230,30
berts_brights:2-44,240,40
berts_brights:2-45,250,50
berts_brights:2-46,260,60
berts_brights:2-47,270,70
berts_brights:2-48,280,80
berts_brights:2-49,290,90
berts_brights:2-50,300,100
