light_id,x_coordinate,y_coordinate
supercalifragilisticexpealidigital:2-1,10,0
supercalifragilisticexpealidigital:2-2,20,0
supercalifragilisticexpealidigital:2-3,30,0
supercalifragilisticexpealidigital:2-4,40,0
supercalifragilisticexpealidigital:2-5,50,0
supercalifragilisticexpealidigital:2-6,60,0
supercalifragilisticexpealidigital:2-7,70,0
supercalifragilisticexpealidigital:2-8,80,0
supercalifragilisticexpealidigital:2-9,90,0
supercalifragilisticexpealidigital:2-10,100,0
supercalifragilisticexpealidigital:2-11,110,0
supercalifragilisticexpealidigital:2-12,120,0
supercalifragilisticexpealidigital:2-13,130,0
supercalifragilisticexpealidigital:2-14,140,0
supercalifragilisticexpealidigital:2-15,150,0
supercalifragilisticexpealidigital:2-16,160,0
supercalifragilisticexpealidigital:2-17,170,0
supercalifragilisticexpealidigital:2-18,180,0
supercalifragilisticexpealidigital:2-19,190,0
supercalifragilisticexpealidigital:2-20,200,0
supercalifragilisticexpealidigital:2-21,210,0
supercalifragilisticexpealidigital:2-22,220,0
supercalifragilisticexpealidigital:2-23,230,0
supercalifragilisticexpealidigital:2-24,240,0
supercalifragilisticexpealidigital:2-25,250,0
supercalifragilisticexpealidigital:2-26,260,0
supercalifragilisticexpealidigital:2-27,270,0
supercalifragilisticexpealidigital:2-28,280,0
supercalifragilisticexpealidigital:2-29,290,0
supercalifragilisticexpealidigital:2-30,300,0
supercalifragilisticexpealidigital:2-31,310,0
supercalifragilisticexpealidigital:2-32,320,0
supercalifragilisticexpealidigital:2-33,330,0
supercalifragilisticexpealidigital:2-34,340,0
supercalifragilisticexpealidigital:2-35,350,0
supercalifragilisticexpealidigital:2-36,360,0
supercalifragilisticexpealidigital:2-37,370,0
supercalifragilisticexpealidigital:2-38,380,0
supercalifragilisticexpealidigital:2-39,390,0
supercalifragilisticexpealidigital:2-40,400,0
supercalifragilisticexpealidigital:2-41,410,0
supercalifragilisticexpealidigital:2-42,420,0
supercalifragilisticexpealidigital:2-43,430,0
supercalifragilisticexpealidigital:2-44,440,0
supercalifragilisticexpealidigital:2-45,450,0
supercalifragilisticexpealidigital:2-46,460,0
supercalifragilisticexpealidigital:2-47,470,0
supercalifragilisticexpealidigital:2-48,480,0
supercalifragilisticexpealidigital:2-49,490,0
supercalifragilisticexpealidigital:2-50,500,0
berts_brights:2-1,0,10
berts_brights:2-2,0,20
berts_brights:2-3,0,30
berts_brights:2-4,0,40
berts_brights:2-5,0,50
berts_brights:2-6,0,60
berts_brights:2-7,0,70
berts_brights:2-8,0,80
berts_brights:2-9,0,90
berts_brights:2-10,0,100
berts_brights:2-11,0,110
berts_brights:2-12,0,120
berts_brights:2-13,0,130
berts_brights:2-14,0,140
berts_brights:2-15,0,150
berts_brights:2-16,0,160
berts_brights:2-17,0,170
berts_brights:2-18,0,180
berts_brights:2-19,0,190
berts_brights:2-20,0,200
berts_brights:2-21,0,210
berts_brights:2-22,0,220
berts_brights:2-23,0,230
berts_brights:2-24,0,240
berts_brights:2-25,0,250
berts_brights:2-26,0,260
berts_brights:2-27,0,270
berts_brights:2-28,0,280
berts_brights:2-29,0,290
berts_brights:2-30,0,300
berts_brights:2-31,0,310
berts_brights:2-32,0,320
berts_brights:2-33,0,330
berts_brights:2-34,0,340
berts_brights:2-35,0,350
berts_brights:2-36,0,360
berts_brights:2-37,0,370
berts_brights:2-38,0,380
berts_brights:2-39,0,390
berts_brights:2-40,0,400
berts_brights:2-41,0,410
berts_brights:2-42,0,420
berts_brights:2-43,0,430
