light_id,x_coordinate,y_coordinate
supercalifragilisticexpealidigital:1-1,21.5,0
supercalifragilisticexpealidigital:1-2,21.5,1
supercalifragilisticexpealidigital:1-3,21.5,2
supercalifragilisticexpealidigital:1-4,21.5,3
supercalifragilisticexpealidigital:1-5,21.5,4
supercalifragilisticexpealidigital:1-6,21.5,5
supercalifragilisticexpealidigital:1-7,21.5,6
supercalifragilisticexpealidigital:1-8,21.5,7
supercalifragilisticexpealidigital:1-9,21.5,8
supercalifragilisticexpealidigital:1-10,21.5,9
supercalifragilisticexpealidigital:1-11,21.5,10
supercalifragilisticexpealidigital:1-12,21.5,11
supercalifragilisticexpealidigital:1-13,21.5,12
supercalifragilisticexpealidigital:1-14,21.5,13
supercalifragilisticexpealidigital:1-15,21.5,14
supercalifragilisticexpealidigital:1-16,21.5,15
supercalifragilisticexpealidigital:1-17,21.5,16
supercalifragilisticexpealidigital:1-18,21.5,17
supercalifragilisticexpealidigital:1-19,21.5,18
supercalifragilisticexpealidigital:1-20,21.5,19
supercalifragilisticexpealidigital:1-21,21.5,20
supercalifragilisticexpealidigital:1-22,21.5,21
supercalifragilisticexpealidigital:1-23,21.5,22
supercalifragilisticexpealidigital:1-24,21.5,23
supercalifragilisticexpealidigital:1-25,21.5,24
supercalifragilisticexpealidigital:1-26,21.5,25
supercalifragilisticexpealidigital:1-27,21.5,26
supercalifragilisticexpealidigital:1-28,21.5,27
supercalifragilisticexpealidigital:1-29,21.5,28
supercalifragilisticexpealidigital:1-30,21.5,29
supercalifragilisticexpealidigital:1-31,21.5,30
supercalifragilisticexpealidigital:1-32,21.5,31
supercalifragilisticexpealidigital:1-33,21.5,32
supercalifragilisticexpealidigital:1-34,21.5,33
supercalifragilisticexpealidigital:1-35,21.5,34
supercalifragilisticexpealidigital:1-36,21.5,35
supercalifragilisticexpealidigital:1-37,21.5,36
supercalifragilisticexpealidigital:1-38,21.5,37
supercalifragilisticexpealidigital:1-39,21.5,38
supercalifragilisticexpealidigital:1-40,21.5,39
supercalifragilisticexpealidigital:1-41,21.5,40
supercalifragilisticexpealidigital:1-42,21.5,41
supercalifragilisticexpealidigital:1-43,21.5,42
supercalifragilisticexpealidigital:1-44,21.5,43
supercalifragilisticexpealidigital:1-45,21.5,44
supercalifragilisticexpealidigital:1-46,21.5,45
supercalifragilisticexpealidigital:1-47,21.5,46
supercalifragilisticexpealidigital:1-48,21.5,47
supercalifragilisticexpealidigital:1-49,21.5,48
supercalifragilisticexpealidigital:1-50,21.5,49
supercalifragilisticexpealidigital:1-51,21.5,50
supercalifragilisticexpealidigital:1-52,21.5,51
supercalifragilisticexpealidigital:1-53,21.5,52
supercalifragilisticexpealidigital:1-54,21.5,53
supercalifragilisticexpealidigital:1-55,21.5,54
supercalifragilisticexpealidigital:1-56,21.5,55
supercalifragilisticexpealidigital:1-57,21.5,56
supercalifragilisticexpealidigital:1-58,21.5,57
supercalifragilisticexpealidigital:1-59,21.5,58
supercalifragilisticexpealidigital:1-60,21.5,59
supercalifragilisticexpealidigital:1-61,21.5,60
supercalifragilisticexpealidigital:1-62,21.5,61
supercalifragilisticexpealidigital:1-63,21.5,62
supercalifragilisticexpealidigital:1-64,21.5,63
supercalifragilisticexpealidigital:1-65,21.5,64
