light_id,x_coordinate,y_coordinate
octo_desk:2-1,0,0
octo_desk:2-2,10,0
octo_desk:2-3,20,0
octo_desk:2-4,30,0
octo_desk:2-5,40,0
octo_desk:2-6,50,0
octo_desk:2-7,60,0
octo_desk:2-8,70,0
octo_desk:2-9,80,0
octo_desk:2-10,80,10
octo_desk:2-11,80,20
octo_desk:2-12,80,30
octo_desk:2-13,80,40
octo_desk:2-14,80,50
octo_desk:2-15,80,60
octo_desk:2-16,80,70
octo_desk:2-17,80,80
octo_desk:2-18,90,80
octo_desk:2-19,100,80
octo_desk:2-20,110,80
octo_desk:2-21,120,80
octo_desk:2-22,130,80
octo_desk:2-23,140,80
octo_desk:2-24,150,80
octo_desk:2-25,160,80
octo_desk:2-26,160,90
octo_desk:2-27,160,80
octo_desk:2-28,160,70
octo_desk:2-29,160,60
octo_desk:2-30,160,50
octo_desk:2-31,160,40
octo_desk:2-32,160,30
octo_desk:2-33,160,20
octo_desk:2-34,160,10
octo_desk:2-35,160,0
octo_desk:2-36,170,0
octo_desk:2-37,180,0
octo_desk:2-38,190,0
octo_desk:2-39,200,0
octo_desk:2-40,210,0
octo_desk:2-41,220,0
octo_desk:2-42,230,0
octo_desk:2-43,240,0
octo_desk:2-44,250,0
octo_desk:2-45,260,10
octo_desk:2-46,270,20
octo_desk:2-47,280,30
octo_desk:2-48,290,40
octo_desk:2-49,300,50
octo_desk:2-50,310,60
