light_id,x_coordinate,y_coordinate
spoonful_of_circuit:2-1,10,0
spoonful_of_circuit:2-2,20,0
spoonful_of_circuit:2-3,30,0
spoonful_of_circuit:2-4,40,0
spoonful_of_circuit:2-5,50,0
spoonful_of_circuit:2-6,60,0
spoonful_of_circuit:2-7,70,0
spoonful_of_circuit:2-8,80,0
spoonful_of_circuit:2-9,90,0
spoonful_of_circuit:2-10,100,0
spoonful_of_circuit:2-11,100,10
spoonful_of_circuit:2-12,100,20
spoonful_of_circuit:2-13,100,30
spoonful_of_circuit:2-14,100,40
spoonful_of_circuit:2-15,100,50
spoonful_of_circuit:2-16,100,60
spoonful_of_circuit:2-17,100,70
spoonful_of_circuit:2-18,100,80
spoonful_of_circuit:2-19,100,90
spoonful_of_circuit:2-20,100,100
spoonful_of_circuit:2-21,110,100
spoonful_of_circuit:2-22,120,100
spoonful_of_circuit:2-23,130,100
spoonful_of_circuit:2-24,140,100
spoonful_of_circuit:2-25,150,100
spoonful_of_circuit:2-26,160,100
spoonful_of_circuit:2-27,170,100
spoonful_of_circuit:2-28,180,100
spoonful_of_circuit:2-29,190,100
spoonful_of_circuit:2-30,200,100
spoonful_of_circuit:2-31,200,90
spoonful_of_circuit:2-32,200,80
spoonful_of_circuit:2-33,200,70
spoonful_of_circuit:2-34,200,60
spoonful_of_circuit:2-35,200,50
spoonful_of_circuit:2-36,200,40
spoonful_of_circuit:2-37,200,30
spoonful_of_circuit:2-38,200,20
spoonful_of_circuit:2-39,200,10
spoonful_of_circuit:2-40,200,0
spoonful_of_circuit:2-41,210,10
spoonful_of_circuit:2-42,220,20
spoonful_of_circuit:2-43,230,30
spoonful_of_circuit:2-44,240,40
spoonful_of_circuit:2-45,250,50
spoonful_of_circuit:2-46,260,60
spoonful_of_circuit:2-47,270,70
spoonful_of_circuit:2-48,280,80
spoonful_of_circuit:2-49,290,90
spoonful_of_circuit:2-50,300,100
