light_id,x_coordinate,y_coordinate
supercalifragilisticexpealidigital:2-1,10,0
supercalifragilisticexpealidigital:2-2,20,0
supercalifragilisticexpealidigital:2-3,30,0
supercalifragilisticexpealidigital:2-4,40,0
supercalifragilisticexpealidigital:2-5,50,0
supercalifragilisticexpealidigital:2-6,60,0
supercalifragilisticexpealidigital:2-7,70,0
supercalifragilisticexpealidigital:2-8,80,0
supercalifragilisticexpealidigital:2-9,90,0
supercalifragilisticexpealidigital:2-10,100,0
supercalifragilisticexpealidigital:2-11,100,10
supercalifragilisticexpealidigital:2-12,100,20
supercalifragilisticexpealidigital:2-13,100,30
supercalifragilisticexpealidigital:2-14,100,40
supercalifragilisticexpealidigital:2-15,100,50
supercalifragilisticexpealidigital:2-16,100,60
supercalifragilisticexpealidigital:2-17,100,70
supercalifragilisticexpealidigital:2-18,100,80
supercalifragilisticexpealidigital:2-19,100,90
supercalifragilisticexpealidigital:2-20,100,100
supercalifragilisticexpealidigital:2-21,110,100
supercalifragilisticexpealidigital:2-22,120,100
supercalifragilisticexpealidigital:2-23,130,100
supercalifragilisticexpealidigital:2-24,140,100
supercalifragilisticexpealidigital:2-25,150,100
supercalifragilisticexpealidigital:2-26,160,100
supercalifragilisticexpealidigital:2-27,170,100
supercalifragilisticexpealidigital:2-28,180,100
supercalifragilisticexpealidigital:2-29,190,100
supercalifragilisticexpealidigital:2-30,200,100
supercalifragilisticexpealidigital:2-31,200,90
supercalifragilisticexpealidigital:2-32,200,80
supercalifragilisticexpealidigital:2-33,200,70
supercalifragilisticexpealidigital:2-34,200,60
supercalifragilisticexpealidigital:2-35,200,50
supercalifragilisticexpealidigital:2-36,200,40
supercalifragilisticexpealidigital:2-37,200,30
supercalifragilisticexpealidigital:2-38,200,20
supercalifragilisticexpealidigital:2-39,200,10
supercalifragilisticexpealidigital:2-40,200,0
supercalifragilisticexpealidigital:2-41,210,10
supercalifragilisticexpealidigital:2-42,220,20
supercalifragilisticexpealidigital:2-43,230,30
supercalifragilisticexpealidigital:2-44,240,40
supercalifragilisticexpealidigital:2-45,250,50
supercalifragilisticexpealidigital:2-46,260,60
supercalifragilisticexpealidigital:2-47,270,70
supercalifragilisticexpealidigital:2-48,280,80
supercalifragilisticexpealidigital:2-49,290,90
supercalifragilisticexpealidigital:2-50,300,100
